Date,Adj Close,Close,High,Low,Open,Volume,Price_Up,Price_Change,Price_Change_Pct,VADER_Positive,VADER_Negative,VADER_Neutral,VADER_Compound_Sentiment
1999-01-22,0.037615169,0.041016001,0.048827998,0.038802002,0.043749999,2714688000,0,0.0,0.0,,,,
1999-01-25,0.041555878,0.045313001,0.045832999,0.041016001,0.044271,510480000,1,0.004296999999999995,10.476399198449393,,,,
1999-01-26,0.038331419,0.041797001,0.046744999,0.041145999,0.045832999,343200000,0,-0.0035159999999999983,-7.759362484069414,,,,
1999-01-27,0.03821218,0.041666999,0.042969,0.039583001,0.041926999,244368000,0,-0.00013000199999999712,-0.3110318847995748,,,,
1999-01-28,0.038092051,0.041536,0.041926999,0.041276,0.041666999,227520000,0,-0.00013099900000000664,-0.31439509238475905,,,,
1999-01-29,0.036300983,0.039583001,0.041666999,0.039583001,0.041536,244032000,0,-0.001952998999999997,-4.701942892912165,,,,
1999-02-01,0.037018139,0.040364999,0.040624999,0.039583001,0.039583001,154704000,1,0.000781997999999999,1.9755904813786074,,,,
1999-02-02,0.034152262,0.037239999,0.040624999,0.036068,0.039583001,264096000,0,-0.003124999999999996,-7.741855759738768,,,,
1999-02-03,0.034868501,0.038020998,0.038541999,0.036458001,0.036719002,75120000,1,0.0007809989999999975,2.097204675005489,,,,
1999-02-04,0.036778785,0.040104002,0.041145999,0.038020998,0.038541999,181920000,1,0.0020830039999999994,5.478562135586234,,,,
1999-02-05,0.037853617,0.041276,0.041666999,0.039714001,0.040755,136848000,1,0.0011719980000000005,2.9223966226612506,,,,
1999-02-08,0.036540333,0.039843999,0.041666999,0.039843999,0.041536,154080000,0,-0.0014320010000000022,-3.4693308460122156,,,,
1999-02-09,0.035106938,0.038281001,0.040885001,0.037760001,0.040624999,86976000,0,-0.001562997999999996,-3.9227939946489707,,,,
1999-02-10,0.034749277,0.037891001,0.039322998,0.037239999,0.038281001,148224000,0,-0.00039000000000000146,-1.0187821368620988,,,,
1999-02-11,0.037734382,0.041145999,0.042707998,0.038020998,0.038020998,132240000,1,0.003254998000000002,8.590424940212063,,,,
1999-02-12,0.039884031,0.04349,0.043749999,0.041666999,0.041666999,109728000,1,0.0023440009999999983,5.696789619812119,,,,
1999-02-16,0.040122472,0.043749999,0.046094,0.039322998,0.044271,211008000,1,0.00025999899999999687,0.597836284203258,,,,
1999-02-17,0.037972841,0.041405998,0.043228999,0.040624999,0.042707998,67728000,0,-0.0023440009999999983,-5.357716693890664,,,,
1999-02-18,0.038569845,0.042057,0.043228999,0.040885001,0.042707998,70704000,1,0.0006510019999999977,1.5722408139999373,,,,
1999-02-19,0.039884031,0.04349,0.044271,0.041145999,0.041666999,75360000,1,0.0014330000000000037,3.407280595382466,,,,
1999-02-22,0.040122472,0.043749999,0.044792,0.041405998,0.044271,205248000,1,0.00025999899999999687,0.597836284203258,,,,
1999-02-23,0.042032767,0.045832999,0.046744999,0.042188,0.044792,138096000,1,0.0020830000000000015,4.761142965968985,,,,
1999-02-24,0.045376468,0.049479,0.054687999,0.048307002,0.052604001,612768000,1,0.003646001000000003,7.954969300612431,,,,
1999-02-25,0.043943971,0.047917001,0.053125001,0.047134999,0.051562998,149136000,0,-0.0015619990000000014,-3.1568928232179334,,,,
1999-02-26,0.041913562,0.045703001,0.050000001,0.045313001,0.048438001,172608000,0,-0.0022140000000000007,-4.620489500167175,,,,
1999-03-01,0.042152904,0.045963999,0.047917001,0.043749999,0.046875,92160000,1,0.0002609979999999984,0.5710740964253056,,,,
